,object_id,time_since_founded
753,c:1915,[30787]
2,c:342,[30797]
414,c:20016,[30933]
1163,c:274050,[31708]
428,c:7576,[32233]
166,c:34181,[32433]
537,c:541,[32533]
14,c:3658,[33323]
140,c:32510,[33504]
1246,c:258527,[33947]
550,c:30981,[34009]
1225,c:27295,[34662]
987,c:57929,[35654]
1022,c:26486,[36033]
746,c:59312,[36993]
710,c:7060,[38791]
367,c:4199,[39642]
1109,c:11318,[40280]
935,c:70725,[40374]
1027,c:20211,[40781]
