id,normalized_name,category_code,founded_at,country_code
c:102912,scavado,software,2007-11-01,USA
c:10292,sg2,advertising,2000-02-11,ARG
c:102922,easyown it,ecommerce,2011-04-10,CHE
c:10293,shareblossom,enterprise,2008-02-19,CAN
c:102933,mobintent,advertising,2010-08-01,USA
c:10295,foodista,hospitality,2008-02-01,USA
c:102952,everwrite,search,2011-12-01,BRA
c:10296,inforeach,software,1995-01-01,USA
c:10298,ithryv,web,2007-07-01,USA
c:10299,hy tek sports software,software,1982-01-01,USA
c:103,funny or die,games_video,2007-03-01,USA
c:1030,citytherapy,web,2005-03-01,GBR
c:103029,govity,web,2011-03-01,USA
c:10308,klatcher,web,2008-07-10,USA
c:103088,granted peace services,consulting,2008-07-01,USA
c:10309,oclc,other,1967-07-05,USA
c:10310,pg realty,software,2005-01-01,USA
c:10311,tweegee,games_video,2008-01-01,ISR
c:103118,im broke lets deal,web,2011-07-23,USA
c:10313,visible pixel,web,2007-06-01,USA
c:10314,bringit sign up sheets,web,2008-01-01,USA
c:103155,somolend,finance,2011-05-11,USA
c:10317,debate,network_hosting,2007-08-01,USA
c:103181,brand embassy,public_relations,2011-07-18,GBR
c:103200,hey hey gorgeous,web,2011-08-01,USA
c:103204,playerduel,mobile,2011-01-01,USA
c:103209,adeasy,advertising,2011-03-01,RUS
c:10322,crisp thinking,software,2005-11-20,GBR
c:103233,guavus,analytics,2006-02-01,USA
c:10324,chi mp,network_hosting,2007-12-25,USA
c:103249,max bohr,consulting,2011-04-01,IND
c:10326,webbizideas,consulting,2004-01-01,USA
c:10329,sm onyomo infotech,search,2008-07-31,IND
c:103292,routehappy,transportation,2011-01-01,USA
c:10330,mindtricx solutions technologies,software,2006-03-01,IND
c:10331,telespree,software,1998-01-01,USA
c:103323,happy inspector,mobile,2011-10-01,USA
c:103327,zflip,web,2011-02-01,USA
c:103334,mighty kingdom,games_video,2011-01-11,AUS
c:10335,unified software,web,2003-05-01,GBR
c:10336,property chat uk,other,2008-08-25,GBR
c:10337,abunga,ecommerce,2007-04-01,USA
c:10338,aventure host,network_hosting,2003-01-01,GBR
c:10340,lime productions,web,2005-01-01,USA
c:103405,global link language services,other,1996-08-05,USA
c:10341,pepmall,ecommerce,2008-03-13,USA
c:103416,positivetalk,web,2011-04-01,USA
c:10343,2big2send,web,2007-03-01,GBR
c:103458,pumpkynhead,education,2011-01-01,AUS
c:103470,ludus,games_video,2011-08-01,ISR
c:103477,storymix media,photo_video,2011-08-01,USA
c:103487,swimtopia,software,2011-01-01,USA
c:103490,groupcharger,web,2011-01-01,USA
c:1035,msnbc,web,1996-01-01,USA
c:10351,webvanta,public_relations,2007-09-01,USA
