,object_id,funding_round_code,raised_amount_usd,participants,a,angel,b,c,d,e,f,g,seed,time_since_founded
19998,c:70667,b,3000000,0,0,0,1,0,0,0,0,0,0,912
29640,c:69276,seed,500000,1,0,0,0,0,0,0,0,0,1,912
25530,c:233573,a,6852075.901187812016,2,1,0,0,0,0,0,0,0,0,912
18539,c:70403,a,2391664,2,1,0,0,0,0,0,0,0,0,912
25514,c:203033,a,5000000,1,1,0,0,0,0,0,0,0,0,912
27155,c:178394,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,912
25522,c:233666,seed,500000,1,0,0,0,0,0,0,0,0,1,912
25338,c:225781,seed,1500000,4,0,0,0,0,0,0,0,0,1,912
25562,c:77713,b,15000000,3,0,0,1,0,0,0,0,0,0,913
25694,c:179230,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,913
541,c:778,seed,50000,1,0,0,0,0,0,0,0,0,1,913
19430,c:67942,b,10500000,2,0,0,1,0,0,0,0,0,0,913
28275,c:261251,angel,500000,1,0,1,0,0,0,0,0,0,0,913
18567,c:44532,seed,100000,0,0,0,0,0,0,0,0,0,1,913
3773,c:16706,a,6852075.901187812016,1,1,0,0,0,0,0,0,0,0,913
1007,c:1522,b,12000000,3,0,0,1,0,0,0,0,0,0,913
9538,c:1959,d,4566198,0,0,0,0,0,1,0,0,0,0,913
25584,c:177575,seed,500000,4,0,0,0,0,0,0,0,0,1,913
14225,c:53254,c,36000000,4,0,0,0,1,0,0,0,0,0,913
5610,c:26368,a,8000000,1,1,0,0,0,0,0,0,0,0,913
2390,c:4068,seed,150000,0,0,0,0,0,0,0,0,0,1,913
25720,c:234138,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,913
2751,c:747,b,2500000,0,0,0,1,0,0,0,0,0,0,914
27126,c:210551,seed,1611154,0,0,0,0,0,0,0,0,0,1,914
2919,c:10566,a,3998100,4,1,0,0,0,0,0,0,0,0,914
1290,c:1080,b,29500000,4,0,0,1,0,0,0,0,0,0,914
31273,c:281164,angel,250000,1,0,1,0,0,0,0,0,0,0,914
27089,c:850,c,18632754.709923664122,1,0,0,0,1,0,0,0,0,0,914
1760,c:3879,b,10000000,4,0,0,1,0,0,0,0,0,0,914
22146,c:186460,angel,277500,0,0,1,0,0,0,0,0,0,0,914
26663,c:239119,a,6852075.901187812016,1,1,0,0,0,0,0,0,0,0,914
26552,c:2417,a,2499998,0,1,0,0,0,0,0,0,0,0,914
19520,c:164212,a,6852075.901187812016,1,1,0,0,0,0,0,0,0,0,914
1481,c:2593,b,7200000,2,0,0,1,0,0,0,0,0,0,914
7349,c:37037,angel,700941,0,0,1,0,0,0,0,0,0,0,914
5502,c:25737,a,18000000,4,1,0,0,0,0,0,0,0,0,914
19445,c:81282,a,4200000,0,1,0,0,0,0,0,0,0,0,914
19449,c:163435,a,2500000,0,1,0,0,0,0,0,0,0,0,914
1586,c:70,a,4000000,0,1,0,0,0,0,0,0,0,0,914
25701,c:234953,seed,1700000,7,0,0,0,0,0,0,0,0,1,914
1754,c:732,c,12000000,2,0,0,0,1,0,0,0,0,0,914
4140,c:627,a,350000,1,1,0,0,0,0,0,0,0,0,915
26072,c:237906,seed,25000,0,0,0,0,0,0,0,0,0,1,915
4721,c:2829,a,3000000,0,1,0,0,0,0,0,0,0,0,915
18231,c:76352,angel,550000,4,0,1,0,0,0,0,0,0,0,915
20645,c:46410,c,25000000,4,0,0,0,1,0,0,0,0,0,915
23202,c:68168,seed,750000,2,0,0,0,0,0,0,0,0,1,915
26332,c:20689,c,6490000,2,0,0,0,1,0,0,0,0,0,915
16077,c:46333,angel,535000,1,0,1,0,0,0,0,0,0,0,915
15015,c:79900,angel,832099.38937198067634,1,0,1,0,0,0,0,0,0,0,915
7798,c:39543,angel,1000000,1,0,1,0,0,0,0,0,0,0,915
29500,c:151882,seed,70000,1,0,0,0,0,0,0,0,0,1,915
18249,c:36920,seed,21000000,0,0,0,0,0,0,0,0,0,1,915
22351,c:151733,b,11894260.33982300885,2,0,0,1,0,0,0,0,0,0,915
10418,c:23052,c,31000000,1,0,0,0,1,0,0,0,0,0,915
5085,c:911,b,8457000,4,0,0,1,0,0,0,0,0,0,916
17224,c:19732,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,916
15728,c:38594,b,17000000,5,0,0,1,0,0,0,0,0,0,916
13516,c:56284,seed,2000000,4,0,0,0,0,0,0,0,0,1,916
26612,c:154136,seed,825000,1,0,0,0,0,0,0,0,0,1,916
15156,c:41370,seed,1500000,4,0,0,0,0,0,0,0,0,1,916
5620,c:26531,a,833000,0,1,0,0,0,0,0,0,0,0,917
24347,c:194247,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,917
8955,c:14498,b,4910000,2,0,0,1,0,0,0,0,0,0,917
19475,c:72842,seed,750000,1,0,0,0,0,0,0,0,0,1,917
7007,c:1850,a,2500000,5,1,0,0,0,0,0,0,0,0,918
15600,c:30540,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,918
25743,c:235497,seed,1000000,3,0,0,0,0,0,0,0,0,1,918
14409,c:16567,b,8000000,3,0,0,1,0,0,0,0,0,0,918
24905,c:225405,a,400000,3,1,0,0,0,0,0,0,0,0,918
10067,c:17940,b,6000000,2,0,0,1,0,0,0,0,0,0,918
12467,c:59557,angel,1500000,2,0,1,0,0,0,0,0,0,0,918
16515,c:19922,a,562204,1,1,0,0,0,0,0,0,0,0,918
17937,c:47871,a,5000000,1,1,0,0,0,0,0,0,0,0,918
13020,c:27591,b,3000000,0,0,0,1,0,0,0,0,0,0,919
8285,c:42269,b,14110000,4,0,0,1,0,0,0,0,0,0,919
16793,c:142596,a,1000000,1,1,0,0,0,0,0,0,0,0,919
5516,c:25832,a,1500000,1,1,0,0,0,0,0,0,0,0,919
28817,c:265589,angel,225000,0,0,1,0,0,0,0,0,0,0,919
28035,c:68859,seed,150000,0,0,0,0,0,0,0,0,0,1,919
22158,c:148261,seed,3000000,2,0,0,0,0,0,0,0,0,1,919
25887,c:236474,a,1135198,0,1,0,0,0,0,0,0,0,0,920
12623,c:23328,a,6852075.901187812016,1,1,0,0,0,0,0,0,0,0,920
19508,c:69398,b,12000000,4,0,0,1,0,0,0,0,0,0,920
19503,c:154904,b,10000000,3,0,0,1,0,0,0,0,0,0,920
19547,c:82668,b,7000000,9,0,0,1,0,0,0,0,0,0,920
25891,c:236505,seed,250000,0,0,0,0,0,0,0,0,0,1,920
8171,c:37854,b,9200000,5,0,0,1,0,0,0,0,0,0,920
25830,c:169126,b,11894260.33982300885,3,0,0,1,0,0,0,0,0,0,920
26659,c:71113,seed,2000000,0,0,0,0,0,0,0,0,0,1,921
3938,c:17491,seed,1400000,1,0,0,0,0,0,0,0,0,1,921
19536,c:164245,a,3100000,2,1,0,0,0,0,0,0,0,0,921
20769,c:160281,angel,3200000,2,0,1,0,0,0,0,0,0,0,921
9465,c:11307,a,7660000,6,1,0,0,0,0,0,0,0,0,921
5900,c:27891,b,10000000,3,0,0,1,0,0,0,0,0,0,921
10189,c:40800,b,14000000,4,0,0,1,0,0,0,0,0,0,921
2557,c:1669,a,4500000,1,1,0,0,0,0,0,0,0,0,921
6828,c:702,c,10000000,2,0,0,0,1,0,0,0,0,0,921
23290,c:166016,a,2500000,6,1,0,0,0,0,0,0,0,0,921
8668,c:30364,b,28800000,2,0,0,1,0,0,0,0,0,0,921
8279,c:42236,b,15000000,2,0,0,1,0,0,0,0,0,0,921
2080,c:5622,a,5300000,3,1,0,0,0,0,0,0,0,0,921
13192,c:61565,angel,1010960,2,0,1,0,0,0,0,0,0,0,921
25888,c:236475,seed,200000,0,0,0,0,0,0,0,0,0,1,922
23143,c:193682,a,500000,4,1,0,0,0,0,0,0,0,0,922
25710,c:28219,seed,35000,1,0,0,0,0,0,0,0,0,1,922
26026,c:237673,seed,1947189,0,0,0,0,0,0,0,0,0,1,922
13927,c:67060,seed,650000,6,0,0,0,0,0,0,0,0,1,922
25916,c:152518,a,5000000,2,1,0,0,0,0,0,0,0,0,922
26022,c:237653,seed,300000,0,0,0,0,0,0,0,0,0,1,922
19586,c:70198,seed,720000,0,0,0,0,0,0,0,0,0,1,922
12188,c:58559,a,8750000,3,1,0,0,0,0,0,0,0,0,922
27550,c:821,a,6852075.901187812016,1,1,0,0,0,0,0,0,0,0,922
20730,c:173985,a,7500000,1,1,0,0,0,0,0,0,0,0,922
31805,c:190150,a,2000000,2,1,0,0,0,0,0,0,0,0,922
12370,c:30537,b,3000000,5,0,0,1,0,0,0,0,0,0,922
8726,c:9050,b,12000000,3,0,0,1,0,0,0,0,0,0,923
14320,c:74331,angel,50000,0,0,1,0,0,0,0,0,0,0,923
17980,c:85941,a,7500000,3,1,0,0,0,0,0,0,0,0,923
24931,c:23962,b,8000000,3,0,0,1,0,0,0,0,0,0,923
19569,c:76826,a,5000000,3,1,0,0,0,0,0,0,0,0,923
19556,c:164393,b,20000000,2,0,0,1,0,0,0,0,0,0,923
26435,c:240349,b,30000000,1,0,0,1,0,0,0,0,0,0,923
15315,c:82336,a,5800000,2,1,0,0,0,0,0,0,0,0,924
6702,c:32790,b,6030000,1,0,0,1,0,0,0,0,0,0,924
2559,c:1772,b,15000000,3,0,0,1,0,0,0,0,0,0,924
8084,c:2153,a,2993894,0,1,0,0,0,0,0,0,0,0,924
31884,c:81010,b,10000000,2,0,0,1,0,0,0,0,0,0,924
23356,c:50895,a,5000000,4,1,0,0,0,0,0,0,0,0,924
1452,c:2503,b,24000000,2,0,0,1,0,0,0,0,0,0,924
26166,c:81188,a,700000,3,1,0,0,0,0,0,0,0,0,924
15301,c:22649,seed,675000,6,0,0,0,0,0,0,0,0,1,924
20922,c:175764,a,6852075.901187812016,1,1,0,0,0,0,0,0,0,0,925
4526,c:20286,a,1531320,0,1,0,0,0,0,0,0,0,0,925
5790,c:1765,c,8300000,2,0,0,0,1,0,0,0,0,0,925
5814,c:3790,b,11894260.33982300885,2,0,0,1,0,0,0,0,0,0,926
2575,c:8282,a,8000000,1,1,0,0,0,0,0,0,0,0,926
8199,c:16435,c,19000000,3,0,0,0,1,0,0,0,0,0,926
19591,c:74331,angel,200000,0,0,1,0,0,0,0,0,0,0,926
13099,c:25764,b,11894260.33982300885,3,0,0,1,0,0,0,0,0,0,926
6686,c:32837,a,1210000,4,1,0,0,0,0,0,0,0,0,926
9008,c:26250,a,4100000,3,1,0,0,0,0,0,0,0,0,926
23911,c:84302,a,3000000,2,1,0,0,0,0,0,0,0,0,926
18727,c:58718,seed,75000,1,0,0,0,0,0,0,0,0,1,926
26071,c:237897,a,4300000,1,1,0,0,0,0,0,0,0,0,926
26080,c:165653,seed,800000,0,0,0,0,0,0,0,0,0,1,926
26084,c:145201,a,2000000,3,1,0,0,0,0,0,0,0,0,926
26069,c:237879,seed,2000000,0,0,0,0,0,0,0,0,0,1,926
25946,c:236838,b,7000000,3,0,0,1,0,0,0,0,0,0,927
26413,c:240223,seed,600000,1,0,0,0,0,0,0,0,0,1,927
19648,c:165286,a,4000000,1,1,0,0,0,0,0,0,0,0,927
399,c:768,b,3500000,3,0,0,1,0,0,0,0,0,0,927
19606,c:61254,b,13300000,4,0,0,1,0,0,0,0,0,0,927
1332,c:1661,d,27000000,4,0,0,0,0,1,0,0,0,0,927
5844,c:6913,a,1300000,1,1,0,0,0,0,0,0,0,0,927
9251,c:10621,a,3500000,1,1,0,0,0,0,0,0,0,0,927
1785,c:4011,angel,400000,0,0,1,0,0,0,0,0,0,0,927
19607,c:55056,seed,500000,1,0,0,0,0,0,0,0,0,1,927
29684,c:217982,seed,127500,0,0,0,0,0,0,0,0,0,1,928
25609,c:211928,a,2600000,3,1,0,0,0,0,0,0,0,0,928
26174,c:186749,angel,650000,4,0,1,0,0,0,0,0,0,0,928
19616,c:165034,b,16579350,4,0,0,1,0,0,0,0,0,0,928
19627,c:53180,a,500000,3,1,0,0,0,0,0,0,0,0,928
6632,c:16572,b,11894260.33982300885,4,0,0,1,0,0,0,0,0,0,928
26234,c:33046,c,7393665,0,0,0,0,1,0,0,0,0,0,928
11038,c:18959,b,12000000,4,0,0,1,0,0,0,0,0,0,929
15342,c:35499,b,5700000,1,0,0,1,0,0,0,0,0,0,929
26283,c:201785,seed,700000,3,0,0,0,0,0,0,0,0,1,929
19190,c:161696,angel,2000000,3,0,1,0,0,0,0,0,0,0,929
31013,c:280274,seed,100000,0,0,0,0,0,0,0,0,0,1,929
15343,c:46401,a,6200000,1,1,0,0,0,0,0,0,0,0,929
23434,c:70791,b,27500000,5,0,0,1,0,0,0,0,0,0,929
447,c:586,a,3000000,1,1,0,0,0,0,0,0,0,0,929
20522,c:168427,a,1300000,3,1,0,0,0,0,0,0,0,0,929
6181,c:1056,b,5600000,3,0,0,1,0,0,0,0,0,0,929
4848,c:2160,angel,275000,1,0,1,0,0,0,0,0,0,0,930
26365,c:239913,seed,400000,0,0,0,0,0,0,0,0,0,1,930
6742,c:33049,b,706000,0,0,0,1,0,0,0,0,0,0,930
21353,c:189572,c,25000000,5,0,0,0,1,0,0,0,0,0,930
13124,c:20622,a,7300000,2,1,0,0,0,0,0,0,0,0,930
12458,c:26635,a,1500000,2,1,0,0,0,0,0,0,0,0,930
7531,c:37964,a,1434300,1,1,0,0,0,0,0,0,0,0,930
26235,c:76670,seed,60000,1,0,0,0,0,0,0,0,0,1,931
30869,c:186440,a,19000000,3,1,0,0,0,0,0,0,0,0,931
23013,c:59772,b,6000000,1,0,0,1,0,0,0,0,0,0,931
3351,c:13921,a,5400000,0,1,0,0,0,0,0,0,0,0,932
2629,c:8730,c,17500000,4,0,0,0,1,0,0,0,0,0,932
9692,c:32499,b,19000000,3,0,0,1,0,0,0,0,0,0,932
9685,c:46259,c,4000000,2,0,0,0,1,0,0,0,0,0,932
8813,c:43954,a,6000000,4,1,0,0,0,0,0,0,0,0,933
847,c:1309,b,12000000,2,0,0,1,0,0,0,0,0,0,933
4076,c:14859,a,4500000,2,1,0,0,0,0,0,0,0,0,933
11664,c:15553,a,6600000,3,1,0,0,0,0,0,0,0,0,933
26375,c:146016,seed,3250000,2,0,0,0,0,0,0,0,0,1,933
26369,c:155570,b,10000000,3,0,0,1,0,0,0,0,0,0,933
5917,c:13082,b,6400000,3,0,0,1,0,0,0,0,0,0,933
26418,c:167082,seed,643300,0,0,0,0,0,0,0,0,0,1,933
26487,c:109364,a,5500000,5,1,0,0,0,0,0,0,0,0,934
26444,c:219479,seed,2000000,3,0,0,0,0,0,0,0,0,1,934
26506,c:134342,seed,1400000,4,0,0,0,0,0,0,0,0,1,934
7318,c:15913,b,730000,1,0,0,1,0,0,0,0,0,0,934
2633,c:8765,a,2900000,2,1,0,0,0,0,0,0,0,0,934
12130,c:2465,angel,832099.38937198067634,1,0,1,0,0,0,0,0,0,0,934
26459,c:223437,b,6900000,2,0,0,1,0,0,0,0,0,0,934
16051,c:105174,a,4000000,1,1,0,0,0,0,0,0,0,0,934
2050,c:4993,c,7000000,5,0,0,0,1,0,0,0,0,0,934
22200,c:165336,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,934
31598,c:39297,angel,832099.38937198067634,1,0,1,0,0,0,0,0,0,0,934
20531,c:82598,b,3250000,5,0,0,1,0,0,0,0,0,0,934
2500,c:7831,b,10000000,3,0,0,1,0,0,0,0,0,0,934
28703,c:66775,a,3030503,2,1,0,0,0,0,0,0,0,0,934
11971,c:56312,angel,3880803,0,0,1,0,0,0,0,0,0,0,934
5932,c:835,b,7500000,2,0,0,1,0,0,0,0,0,0,934
19693,c:164373,a,18600000,7,1,0,0,0,0,0,0,0,0,935
26885,c:224356,seed,540010,0,0,0,0,0,0,0,0,0,1,935
25580,c:234113,b,6000000,3,0,0,1,0,0,0,0,0,0,935
26539,c:169112,b,8600000,2,0,0,1,0,0,0,0,0,0,935
26640,c:241552,seed,382206,0,0,0,0,0,0,0,0,0,1,935
22516,c:73484,a,1000000,1,1,0,0,0,0,0,0,0,0,935
30067,c:145759,seed,2600000,3,0,0,0,0,0,0,0,0,1,935
19703,c:44980,c,12000000,1,0,0,0,1,0,0,0,0,0,935
26548,c:144581,seed,643300,3,0,0,0,0,0,0,0,0,1,935
22454,c:73484,a,3000000,1,1,0,0,0,0,0,0,0,0,935
9551,c:46042,b,6000000,3,0,0,1,0,0,0,0,0,0,935
1702,c:624,a,7000000,3,1,0,0,0,0,0,0,0,0,935
11903,c:29778,b,10000000,4,0,0,1,0,0,0,0,0,0,935
24844,c:224781,seed,992250,0,0,0,0,0,0,0,0,0,1,935
15430,c:52416,b,3000000,1,0,0,1,0,0,0,0,0,0,936
26575,c:241203,b,10000000,2,0,0,1,0,0,0,0,0,0,936
26635,c:42654,a,3800000,3,1,0,0,0,0,0,0,0,0,936
15432,c:83304,a,6852075.901187812016,1,1,0,0,0,0,0,0,0,0,936
12357,c:22529,b,3500000,3,0,0,1,0,0,0,0,0,0,936
19729,c:166044,a,1500000,3,1,0,0,0,0,0,0,0,0,936
4595,c:21511,seed,2500000,2,0,0,0,0,0,0,0,0,1,936
28598,c:66832,seed,50000,0,0,0,0,0,0,0,0,0,1,936
8611,c:43350,a,8000000,2,1,0,0,0,0,0,0,0,0,936
29718,c:253054,a,6852075.901187812016,1,1,0,0,0,0,0,0,0,0,937
29072,c:267497,a,200000,0,1,0,0,0,0,0,0,0,0,937
26660,c:228235,a,3600000,0,1,0,0,0,0,0,0,0,0,937
11137,c:52760,b,32000000,5,0,0,1,0,0,0,0,0,0,937
15450,c:44516,b,12600000,2,0,0,1,0,0,0,0,0,0,937
15439,c:44086,b,10000000,4,0,0,1,0,0,0,0,0,0,937
15437,c:44071,seed,1000000,1,0,0,0,0,0,0,0,0,1,937
3035,c:8757,a,5000000,3,1,0,0,0,0,0,0,0,0,937
12661,c:60540,a,6190000,1,1,0,0,0,0,0,0,0,0,937
10226,c:27744,b,12000000,3,0,0,1,0,0,0,0,0,0,937
26693,c:242268,seed,771960,2,0,0,0,0,0,0,0,0,1,937
26708,c:242364,seed,157896,0,0,0,0,0,0,0,0,0,1,937
12175,c:27620,b,9400000,4,0,0,1,0,0,0,0,0,0,937
14041,c:34097,b,1500000,0,0,0,1,0,0,0,0,0,0,938
15476,c:83557,c,20000000,4,0,0,0,1,0,0,0,0,0,938
11977,c:7100,b,20000000,3,0,0,1,0,0,0,0,0,0,938
17424,c:31996,a,6000000,4,1,0,0,0,0,0,0,0,0,938
11149,c:37627,a,3000000,1,1,0,0,0,0,0,0,0,0,938
28678,c:250631,seed,250000,1,0,0,0,0,0,0,0,0,1,938
6295,c:30489,a,6000000,2,1,0,0,0,0,0,0,0,0,938
15455,c:50645,a,5000000,1,1,0,0,0,0,0,0,0,0,938
26839,c:243578,seed,150000,0,0,0,0,0,0,0,0,0,1,938
15475,c:67880,b,18000000,2,0,0,1,0,0,0,0,0,0,938
7328,c:36920,a,28500000,1,1,0,0,0,0,0,0,0,0,938
9934,c:46974,a,750000,4,1,0,0,0,0,0,0,0,0,938
3178,c:12666,angel,832099.38937198067634,1,0,1,0,0,0,0,0,0,0,939
5986,c:16938,seed,500000,5,0,0,0,0,0,0,0,0,1,939
29576,c:39948,seed,750000,0,0,0,0,0,0,0,0,0,1,939
3357,c:971,b,16800000,4,0,0,1,0,0,0,0,0,0,939
5987,c:23972,b,18000000,2,0,0,1,0,0,0,0,0,0,939
4259,c:913,b,13550000,3,0,0,1,0,0,0,0,0,0,939
26958,c:244723,a,6852075.901187812016,0,1,0,0,0,0,0,0,0,0,939
8165,c:31538,b,3500000,4,0,0,1,0,0,0,0,0,0,939
8598,c:32767,a,8200000,2,1,0,0,0,0,0,0,0,0,940
29081,c:98679,b,1350000,2,0,0,1,0,0,0,0,0,0,940
6937,c:7755,seed,875000,4,0,0,0,0,0,0,0,0,1,940
26731,c:152397,b,15000000,0,0,0,1,0,0,0,0,0,0,940
15622,c:84710,seed,180000,0,0,0,0,0,0,0,0,0,1,940
2667,c:9038,a,7000000,2,1,0,0,0,0,0,0,0,0,940
6008,c:28468,a,2500000,1,1,0,0,0,0,0,0,0,0,940
14219,c:57959,b,10500000,0,0,0,1,0,0,0,0,0,0,940
23930,c:54670,seed,1000000,1,0,0,0,0,0,0,0,0,1,941
26763,c:242839,a,6852075.901187812016,2,1,0,0,0,0,0,0,0,0,941
8349,c:1870,b,12000000,2,0,0,1,0,0,0,0,0,0,941
26803,c:229245,a,6852075.901187812016,2,1,0,0,0,0,0,0,0,0,941
28694,c:85347,b,14000000,2,0,0,1,0,0,0,0,0,0,941
16186,c:56641,a,5000000,6,1,0,0,0,0,0,0,0,0,941
20504,c:172024,seed,25000,0,0,0,0,0,0,0,0,0,1,942
299,c:391,a,36600000,3,1,0,0,0,0,0,0,0,0,942
26875,c:243849,seed,500000,0,0,0,0,0,0,0,0,0,1,942
944,c:1436,a,15600000,0,1,0,0,0,0,0,0,0,0,942
15508,c:67092,a,15000000,1,1,0,0,0,0,0,0,0,0,942
21271,c:178604,angel,832099.38937198067634,1,0,1,0,0,0,0,0,0,0,942
27087,c:53415,a,6852075.901187812016,1,1,0,0,0,0,0,0,0,0,942
26855,c:243722,seed,866032.61638225255973,2,0,0,0,0,0,0,0,0,1,942
30738,c:157278,a,4000000,3,1,0,0,0,0,0,0,0,0,942
16280,c:135147,seed,49167,0,0,0,0,0,0,0,0,0,1,942
823,c:1284,a,3000000,1,1,0,0,0,0,0,0,0,0,942
290,c:385,c,30000000,4,0,0,0,1,0,0,0,0,0,942
464,c:619,b,4500000,2,0,0,1,0,0,0,0,0,0,942
19807,c:56747,b,11894260.33982300885,4,0,0,1,0,0,0,0,0,0,942
20376,c:171148,a,6852075.901187812016,1,1,0,0,0,0,0,0,0,0,942
3667,c:16134,b,20000000,4,0,0,1,0,0,0,0,0,0,942
30815,c:195777,a,2000000,1,1,0,0,0,0,0,0,0,0,942
374,c:522,seed,800000,1,0,0,0,0,0,0,0,0,1,942
26962,c:243716,a,2000000,3,1,0,0,0,0,0,0,0,0,943
20055,c:35860,seed,1600000,5,0,0,0,0,0,0,0,0,1,943
13629,c:43401,angel,150000,0,0,1,0,0,0,0,0,0,0,943
19102,c:58718,seed,50000,0,0,0,0,0,0,0,0,0,1,943
30526,c:276274,a,3500000,0,1,0,0,0,0,0,0,0,0,943
26284,c:147795,a,16000000,0,1,0,0,0,0,0,0,0,0,943
30214,c:68347,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,943
20683,c:173520,seed,1000000,0,0,0,0,0,0,0,0,0,1,943
17134,c:145528,seed,20000,1,0,0,0,0,0,0,0,0,1,943
30617,c:170896,angel,832099.38937198067634,1,0,1,0,0,0,0,0,0,0,943
11880,c:45818,seed,1125000,1,0,0,0,0,0,0,0,0,1,943
25819,c:75898,seed,890000,0,0,0,0,0,0,0,0,0,1,943
3563,c:15563,b,13500000,0,0,0,1,0,0,0,0,0,0,943
15366,c:42960,b,30500000,1,0,0,1,0,0,0,0,0,0,943
16043,c:14152,seed,120000,1,0,0,0,0,0,0,0,0,1,943
3182,c:635,b,3000000,1,0,0,1,0,0,0,0,0,0,943
31122,c:254928,seed,2573200,4,0,0,0,0,0,0,0,0,1,943
22839,c:1063,seed,866032.61638225255973,2,0,0,0,0,0,0,0,0,1,943
26892,c:68878,a,6500000,7,1,0,0,0,0,0,0,0,0,943
11299,c:53815,b,10000000,2,0,0,1,0,0,0,0,0,0,943
15982,c:103561,a,2394302,3,1,0,0,0,0,0,0,0,0,943
2173,c:6049,a,6852075.901187812016,1,1,0,0,0,0,0,0,0,0,943
15546,c:84072,a,2200000,2,1,0,0,0,0,0,0,0,0,943
7589,c:38220,a,3000000,1,1,0,0,0,0,0,0,0,0,943
28767,c:116174,b,5500000,2,0,0,1,0,0,0,0,0,0,943
2775,c:8337,a,6500000,2,1,0,0,0,0,0,0,0,0,943
11288,c:34038,angel,832099.38937198067634,5,0,1,0,0,0,0,0,0,0,943
26980,c:244896,seed,761787,0,0,0,0,0,0,0,0,0,1,944
16233,c:128125,seed,117059,1,0,0,0,0,0,0,0,0,1,944
29216,c:82728,a,600000,2,1,0,0,0,0,0,0,0,0,944
26363,c:239896,b,2800000,2,0,0,1,0,0,0,0,0,0,944
26935,c:227834,seed,1007815,0,0,0,0,0,0,0,0,0,1,944
11177,c:43502,b,11000000,3,0,0,1,0,0,0,0,0,0,944
9642,c:37761,b,30000000,6,0,0,1,0,0,0,0,0,0,944
14470,c:46123,seed,500000,1,0,0,0,0,0,0,0,0,1,944
11667,c:16770,a,7000000,3,1,0,0,0,0,0,0,0,0,944
351,c:471,a,1000000,1,1,0,0,0,0,0,0,0,0,944
19827,c:166781,seed,3500000,4,0,0,0,0,0,0,0,0,1,944
25237,c:75429,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,944
25600,c:51338,c,2000000,3,0,0,0,1,0,0,0,0,0,944
17910,c:68859,a,1500000,1,1,0,0,0,0,0,0,0,0,944
1099,c:289,c,20000000,5,0,0,0,1,0,0,0,0,0,944
7492,c:8005,a,4500000,1,1,0,0,0,0,0,0,0,0,945
4464,c:20572,a,4748400,1,1,0,0,0,0,0,0,0,0,945
2527,c:8005,a,4500000,1,1,0,0,0,0,0,0,0,0,945
3830,c:17039,angel,1347700,1,0,1,0,0,0,0,0,0,0,945
2058,c:1,c,25000000,4,0,0,0,1,0,0,0,0,0,945
3368,c:12034,b,30000000,0,0,0,1,0,0,0,0,0,0,945
31144,c:280815,a,150000,0,1,0,0,0,0,0,0,0,0,945
21531,c:66473,seed,900000,0,0,0,0,0,0,0,0,0,1,945
24579,c:67916,b,8000000,2,0,0,1,0,0,0,0,0,0,946
11219,c:53424,a,6852075.901187812016,1,1,0,0,0,0,0,0,0,0,946
16884,c:72720,b,6300000,4,0,0,1,0,0,0,0,0,0,946
25143,c:75918,angel,690000,0,0,1,0,0,0,0,0,0,0,946
26982,c:153822,seed,500000,2,0,0,0,0,0,0,0,0,1,947
27007,c:159475,seed,25000,0,0,0,0,0,0,0,0,0,1,947
10065,c:47533,angel,217500,0,0,1,0,0,0,0,0,0,0,947
2113,c:5484,b,7000000,1,0,0,1,0,0,0,0,0,0,947
11245,c:19569,b,17000000,3,0,0,1,0,0,0,0,0,0,947
15873,c:41082,a,6852075.901187812016,7,1,0,0,0,0,0,0,0,0,947
6065,c:13927,a,10000000,3,1,0,0,0,0,0,0,0,0,947
3774,c:16709,c,12170000,3,0,0,0,1,0,0,0,0,0,948
18977,c:146827,a,3000000,1,1,0,0,0,0,0,0,0,0,948
19883,c:72234,seed,1000000,2,0,0,0,0,0,0,0,0,1,948
26178,c:223901,seed,20000,0,0,0,0,0,0,0,0,0,1,948
8500,c:12372,b,3450000,2,0,0,1,0,0,0,0,0,0,948
957,c:1452,a,9600000,3,1,0,0,0,0,0,0,0,0,948
14832,c:57103,b,15000000,3,0,0,1,0,0,0,0,0,0,948
27029,c:176653,a,5000000,2,1,0,0,0,0,0,0,0,0,948
27098,c:172026,seed,1300000,3,0,0,0,0,0,0,0,0,1,949
19901,c:70053,seed,1800000,1,0,0,0,0,0,0,0,0,1,949
29949,c:237932,a,6000000,1,1,0,0,0,0,0,0,0,0,949
19071,c:44692,b,20000000,6,0,0,1,0,0,0,0,0,0,949
6642,c:30800,c,10000000,1,0,0,0,1,0,0,0,0,0,949
23743,c:73908,b,11000000,6,0,0,1,0,0,0,0,0,0,950
3857,c:17272,b,14500000,3,0,0,1,0,0,0,0,0,0,950
19927,c:152004,b,5500000,2,0,0,1,0,0,0,0,0,0,950
15616,c:26028,a,4100000,7,1,0,0,0,0,0,0,0,0,950
15634,c:40397,c,14000000,4,0,0,0,1,0,0,0,0,0,950
8092,c:41412,b,11894260.33982300885,0,0,0,1,0,0,0,0,0,0,950
