,object_id,funding_round_code,raised_amount_usd,participants,a,angel,b,c,d,e,f,g,seed,time_since_founded
19101,c:161041,a,6852075.901187812016,1,1,0,0,0,0,0,0,0,0,0
28762,c:265835,seed,250000,3,0,0,0,0,0,0,0,0,1,0
13759,c:67694,seed,15000,1,0,0,0,0,0,0,0,0,1,0
13745,c:69930,seed,50000,0,0,0,0,0,0,0,0,0,1,0
3976,c:17629,seed,125000,2,0,0,0,0,0,0,0,0,1,0
13839,c:70705,seed,45000,0,0,0,0,0,0,0,0,0,1,0
13847,c:70731,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,0
3870,c:17306,seed,50000,0,0,0,0,0,0,0,0,0,1,0
19045,c:160597,seed,200000,0,0,0,0,0,0,0,0,0,1,0
13942,c:71458,seed,750000,2,0,0,0,0,0,0,0,0,1,0
13937,c:40339,seed,18000,1,0,0,0,0,0,0,0,0,1,0
13924,c:71357,seed,435414,0,0,0,0,0,0,0,0,0,1,0
18992,c:160153,seed,100000,1,0,0,0,0,0,0,0,0,1,0
28919,c:238882,seed,75000,1,0,0,0,0,0,0,0,0,1,0
13910,c:71211,seed,100000,0,0,0,0,0,0,0,0,0,1,0
13909,c:60522,seed,10000,1,0,0,0,0,0,0,0,0,1,0
19004,c:160289,seed,200000,0,0,0,0,0,0,0,0,0,1,0
28711,c:265544,seed,866032.61638225255973,3,0,0,0,0,0,0,0,0,1,0
28912,c:266824,seed,20000,0,0,0,0,0,0,0,0,0,1,0
13892,c:71093,angel,500000,0,0,1,0,0,0,0,0,0,0,0
13888,c:70998,seed,2000000,0,0,0,0,0,0,0,0,0,1,0
13884,c:70950,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,0
13881,c:70913,seed,53448,0,0,0,0,0,0,0,0,0,1,0
13880,c:70899,angel,540000,0,0,1,0,0,0,0,0,0,0,0
28879,c:260411,seed,120000,0,0,0,0,0,0,0,0,0,1,0
13875,c:70861,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,0
19026,c:160483,seed,79872,0,0,0,0,0,0,0,0,0,1,0
13893,c:71103,seed,155000,0,0,0,0,0,0,0,0,0,1,0
4369,c:20122,seed,100000,1,0,0,0,0,0,0,0,0,1,0
4372,c:20144,seed,50000,1,0,0,0,0,0,0,0,0,1,0
4375,c:20162,angel,832099.38937198067634,0,0,1,0,0,0,0,0,0,0,0
12936,c:62598,seed,430753,0,0,0,0,0,0,0,0,0,1,0
12930,c:61783,a,500000,1,1,0,0,0,0,0,0,0,0,0
12929,c:62519,seed,1000000,0,0,0,0,0,0,0,0,0,1,0
12926,c:60915,seed,1000000,0,0,0,0,0,0,0,0,0,1,0
12924,c:42180,seed,866032.61638225255973,3,0,0,0,0,0,0,0,0,1,0
19732,c:166051,angel,50000,0,0,1,0,0,0,0,0,0,0,0
27658,c:257026,seed,200000,1,0,0,0,0,0,0,0,0,1,0
12916,c:59174,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,0
12912,c:62432,a,2500000,2,1,0,0,0,0,0,0,0,0,0
4966,c:21292,angel,832099.38937198067634,0,0,1,0,0,0,0,0,0,0,0
12905,c:62356,angel,300000,0,0,1,0,0,0,0,0,0,0,0
27632,c:193586,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,0
12892,c:62235,seed,500000,0,0,0,0,0,0,0,0,0,1,0
12891,c:62231,angel,832099.38937198067634,15,0,1,0,0,0,0,0,0,0,0
12883,c:61474,angel,100000,0,0,1,0,0,0,0,0,0,0,0
27591,c:235655,seed,50000,1,0,0,0,0,0,0,0,0,1,0
5016,c:23817,seed,71370,0,0,0,0,0,0,0,0,0,1,0
4911,c:23410,angel,832099.38937198067634,0,0,1,0,0,0,0,0,0,0,0
5024,c:23882,a,6000000,1,1,0,0,0,0,0,0,0,0,0
19712,c:139616,seed,866032.61638225255973,5,0,0,0,0,0,0,0,0,1,0
19692,c:165832,seed,77442,1,0,0,0,0,0,0,0,0,1,0
19611,c:164984,angel,832099.38937198067634,0,0,1,0,0,0,0,0,0,0,0
19618,c:165046,seed,2000000,1,0,0,0,0,0,0,0,0,1,0
4804,c:22959,seed,20000,0,0,0,0,0,0,0,0,0,1,0
13049,c:63624,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,0
19657,c:165387,angel,1500000,2,0,1,0,0,0,0,0,0,0,0
19664,c:165420,angel,832099.38937198067634,0,0,1,0,0,0,0,0,0,0,0
4838,c:23083,angel,1000000,0,0,1,0,0,0,0,0,0,0,0
19674,c:165654,angel,100000,0,0,1,0,0,0,0,0,0,0,0
13019,c:63400,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,0
4849,c:23121,seed,100000,0,0,0,0,0,0,0,0,0,1,0
4851,c:23122,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,0
13008,c:50318,a,6852075.901187812016,1,1,0,0,0,0,0,0,0,0,0
19678,c:2724,angel,500000,0,0,1,0,0,0,0,0,0,0,0
13000,c:63214,seed,25996,1,0,0,0,0,0,0,0,0,1,0
12989,c:63117,seed,197550,0,0,0,0,0,0,0,0,0,1,0
27748,c:257931,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,0
12987,c:63098,seed,472617,0,0,0,0,0,0,0,0,0,1,0
