company_name,category_code,company_id,finance_people,employee,company_age,milestones,revisions,techcrunch,competitors,competitors_acquired,offices,products,providers,avg_funding_rounds_investors,avg_funding,founders,succ_founders,founders_exp,acquired,investors,acquisitions,acquisitions_cost,investments,funding_rounds
"Yuta Nakamoto",NULL,c:102603,0,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraquri,software,c:102604,0,NULL,81,NULL,0,0,17921,1466,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SiteMighty, Inc",NULL,c:10261,0,1,0,NULL,0,0,0,0,0,0,0,0,0,1,0,260,0,0,0,0,0,0
"Destination VIP",NULL,c:10262,0,1,0,NULL,0,0,0,0,1,0,0,0,0,1,0,260,0,0,0,0,0,0
"Inside Out Digital Marketing",search,c:102625,0,1,87,NULL,0,0,2181,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FMYI,software,c:10263,1,9,164,1,0,0,17921,1466,2,6,0,0,0,0,0,0,0,0,0,0,0,0
"PRIMA Development Group",software,c:102639,0,1,200,1,0,0,17921,1466,2,0,0,0,0,1,0,0,0,0,0,0,0,0
"Google Japan",search,c:10264,0,3,193,2,0,0,2181,70,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Y5MEDIA,cleantech,c:102652,0,1,80,1,0,0,1939,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Goo,NULL,c:10266,0,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Green Century Solutions LLC",NULL,c:102663,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bargania,ecommerce,c:102666,0,NULL,73,NULL,0,0,9064,271,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Infoseek Rakuten",NULL,c:10267,0,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Translation Services 24",public_relations,c:102679,0,NULL,90,NULL,0,0,2845,215,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BIGGLOBE,NULL,c:10268,0,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Awem,games_video,c:102682,0,NULL,188,1,0,0,7519,342,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IRIDAS,NULL,c:102689,0,NULL,0,NULL,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nifty,web,c:10269,0,NULL,380,NULL,0,0,15117,970,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Mesmo.tv,games_video,c:1027,0,8,0,3,0,0,7519,342,1,1,0,7,900000,3,0,272,0,7,0,0,0,1
SiteRapture,network_hosting,c:10270,0,2,128,1,0,0,2349,201,1,2,0,0,0,2,0,548,0,0,0,0,0,0
"PATMADE Patentanwalt Kuehnel",legal,c:102700,0,1,152,1,0,0,1011,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Viscape,other,c:10271,0,6,111,NULL,0,0,13616,313,1,0,0,0,0,2,0,0,0,0,0,0,0,0
HereWeDate,web,c:102711,0,2,80,1,0,0,15117,971,1,0,0,0,0,2,0,0,0,0,0,0,0,0
