acquired_object_id,AUD,CAD,EUR,GBP,JPY,SEK,USD,cash,cash_and_stock,stock,acquired_time_since_founded
c:268825,0,0,0,0,0,0,1,0,0,0,[10135.]
c:33646,0,0,0,0,0,0,1,0,0,0,[10143.]
c:23241,0,0,0,0,0,0,1,0,1,0,[10148.]
c:35663,0,0,0,0,0,0,1,1,0,0,[10177.]
c:30384,0,0,0,0,0,0,1,0,0,0,[10183.]
c:13266,0,0,0,0,0,0,1,0,0,0,[10196.]
c:170959,0,0,0,0,0,0,1,0,0,0,[10199.]
c:39053,0,0,0,0,0,0,1,0,0,0,[10225.]
c:1135,0,0,0,0,0,0,1,0,0,0,[10229.]
c:593,0,0,0,0,0,0,1,1,0,0,[10263.]
c:4270,0,0,0,0,0,0,1,0,0,0,[10325.]
c:157120,0,0,0,0,0,0,1,0,0,0,[10349.]
c:64055,0,0,0,0,0,0,1,0,0,0,[10380.]
c:52270,0,0,0,0,0,0,1,0,0,0,[10408.]
c:24091,0,0,0,0,0,0,1,0,0,1,[10424.]
c:241520,0,0,0,0,0,0,1,0,0,0,[10432.]
c:244065,0,0,0,0,0,0,1,0,0,0,[10439.]
c:28770,0,0,0,0,0,0,1,0,0,0,[10440.]
c:224622,0,0,0,0,0,0,1,0,0,0,[10458.]
c:260466,0,0,1,0,0,0,0,0,0,0,[10468.]
c:263283,0,0,0,0,0,0,1,0,0,0,[10479.]
c:59268,0,0,0,0,0,0,1,0,0,0,[10504.]
c:136549,0,0,0,0,0,0,1,0,0,0,[10506.]
c:176405,0,0,0,0,0,0,1,0,0,0,[10533.]
c:5293,0,0,0,0,0,0,1,0,0,0,[10551.]
c:35663,0,0,0,0,0,0,1,0,0,0,[10592.]
c:28208,0,0,0,0,0,0,1,0,0,0,[10622.]
c:38465,0,0,0,0,0,0,1,0,0,0,[10629.]
c:199137,0,0,0,0,0,0,1,1,0,0,[10631.]
c:33472,0,0,0,0,0,0,1,0,0,1,[10712.]
c:207237,0,0,0,0,0,0,1,0,0,0,[10714.]
c:32538,0,0,0,0,0,0,1,0,0,0,[10818.]
c:169548,0,0,0,0,0,0,1,0,0,0,[10831.]
c:264932,0,0,0,0,0,0,1,0,0,0,[10851.]
c:264954,0,0,0,0,0,0,1,0,0,0,[10851.]
c:31960,0,0,0,0,0,0,1,0,0,0,[10863.]
c:33448,0,0,0,0,0,0,1,0,0,0,[10875.]
c:175532,0,0,0,0,0,0,1,0,0,0,[10889.]
c:274416,0,0,0,0,0,0,1,0,0,0,[10890.]
c:275145,0,0,0,0,0,0,1,1,0,0,[10893.]
c:10731,0,0,0,0,0,0,1,1,0,0,[10907.]
c:52104,0,0,0,0,0,0,1,0,0,0,[10915.]
c:36666,0,0,0,0,0,0,1,0,1,0,[10920.]
c:285337,0,0,0,0,0,0,1,1,0,0,[10935.]
c:151831,0,0,0,0,0,0,1,0,0,0,[11028.]
c:26142,0,0,0,0,0,0,1,0,0,0,[11052.]
c:26361,0,0,0,0,0,0,1,1,0,0,[11097.]
c:64403,0,0,0,0,0,0,1,0,0,0,[11112.]
c:28244,0,0,0,0,0,0,1,0,0,0,[11140.]
c:28790,0,0,0,0,0,0,1,0,0,0,[11177.]
c:112659,0,0,0,0,0,0,1,0,0,0,[11222.]
c:26561,0,0,0,0,0,0,1,0,0,0,[11253.]
c:29582,0,0,0,0,0,0,1,0,0,0,[11264.]
c:32390,0,0,0,0,0,0,1,0,1,0,[11266.]
c:164476,0,0,0,0,0,0,1,0,0,0,[11286.]
c:283645,0,0,0,0,0,0,1,0,0,0,[11293.]
c:65898,0,0,0,0,0,0,1,0,0,0,[11326.]
c:72214,0,0,0,0,0,0,1,0,0,0,[11414.]
c:52139,0,0,0,0,0,0,1,0,0,0,[11420.]
c:25106,0,0,0,0,0,0,1,0,0,0,[11443.]
c:207801,0,0,0,0,0,0,1,0,0,0,[11448.]
c:10855,0,0,0,0,0,0,1,0,0,0,[11533.]
c:268817,0,0,0,0,0,0,1,0,0,0,[11596.]
c:14098,0,0,0,0,0,0,1,1,0,0,[11648.]
c:3649,0,0,0,0,0,0,1,0,1,0,[11649.]
c:183630,0,0,0,0,0,0,1,0,0,0,[11697.]
c:157046,0,0,0,0,0,0,1,0,0,0,[11809.]
c:228997,0,0,1,0,0,0,0,0,0,0,[11858.]
c:593,0,0,0,0,0,0,1,0,0,0,[11902.]
c:30573,0,0,0,0,0,0,1,0,0,0,[11932.]
c:48508,0,0,0,0,0,0,1,0,0,0,[11933.]
c:8809,0,0,0,0,0,0,1,1,0,0,[11986.]
c:40829,0,0,0,0,0,0,1,0,0,0,[12008.]
c:64567,0,0,0,0,0,0,1,1,0,0,[12042.]
c:26051,0,0,0,0,0,0,1,0,0,0,[12054.]
c:29450,0,0,0,0,0,0,1,1,0,0,[12073.]
c:36665,0,0,0,0,0,0,1,0,0,0,[12147.]
c:76479,0,0,0,0,0,0,1,0,0,0,[12174.]
c:76479,0,0,0,0,0,0,1,0,0,0,[12187.]
c:38968,0,0,0,0,0,0,1,0,0,0,[12273.]
c:50955,0,0,0,0,0,0,1,0,0,0,[12374.]
c:17640,0,0,0,0,0,0,1,0,0,0,[12383.]
c:34901,0,0,0,0,0,0,1,0,0,0,[12419.]
c:15088,0,0,0,0,0,0,1,0,0,0,[12471.]
c:51125,0,0,0,0,0,0,1,0,0,0,[12565.]
c:235766,0,0,0,0,0,0,1,0,0,0,[12607.]
c:63011,0,0,0,0,0,0,1,0,0,0,[12648.]
c:58353,0,0,0,0,0,0,1,0,0,0,[12712.]
c:274037,0,0,0,0,0,0,1,0,0,0,[12714.]
c:20164,0,0,0,0,0,0,1,0,0,0,[12714.]
c:27245,0,0,0,0,0,0,1,0,0,0,[12775.]
c:39088,0,0,0,0,0,0,1,0,0,0,[12787.]
c:15088,0,0,0,0,0,0,1,1,0,0,[12927.]
c:61852,0,0,0,0,0,0,1,0,0,0,[13167.]
c:32496,0,0,0,0,0,0,1,1,0,0,[13215.]
c:39365,0,0,0,0,0,0,1,1,0,0,[13264.]
c:243222,0,0,0,0,0,0,1,0,0,0,[13359.]
c:57392,0,0,0,0,0,0,1,0,0,1,[13412.]
c:279026,0,0,0,0,0,0,1,0,0,0,[13463.]
