acquiring_object_id,acquired_object_id,price_amount,AUD,CAD,EUR,GBP,JPY,SEK,USD,cash,cash_and_stock,stock,acquiring_time_since_founded
c:26805,c:26804,19000000,0,0,0,0,0,0,1,0,0,0,[5644.]
c:26797,c:1967,160000000,0,0,0,0,0,0,1,0,0,0,[5661.]
c:25809,c:25811,22900000,0,0,0,0,0,0,1,0,0,0,[5664.]
c:2334,c:26573,20000000,0,0,0,0,0,0,1,1,0,0,[5676.]
c:317,c:508,1200000000,0,0,0,0,0,0,1,0,0,1,[5681.]
c:29,c:3770,20000000,0,0,0,0,0,0,1,1,0,0,[5682.]
c:851,c:2270,125000000,0,0,0,0,0,0,1,0,0,1,[5687.]
c:20,c:2275,135000000,0,0,0,0,0,0,1,0,0,0,[5691.]
c:20,c:30954,215000000,0,0,0,0,0,0,1,1,0,0,[5702.]
c:28,c:42262,7400000000,0,0,0,0,0,0,1,0,0,1,[5716.]
c:5040,c:61326,13000000,0,0,1,0,0,0,0,0,0,0,[5717.]
c:259443,c:58141,35000000,0,0,0,0,0,0,1,0,0,0,[5718.]
c:42930,c:64829,12000000,0,0,0,0,0,0,1,0,1,0,[5722.]
c:10453,c:28243,42140000,0,0,0,0,0,0,1,0,0,0,[5726.]
c:265622,c:265625,273000000,0,0,0,0,0,0,1,0,0,0,[5739.]
c:10453,c:6811,14900000,0,0,0,0,0,0,1,1,0,0,[5744.]
c:46181,c:185341,644000000,0,0,0,0,0,0,1,0,0,0,[5745.]
c:27380,c:27378,4950000,0,0,0,0,0,0,1,0,0,0,[5748.]
c:29371,c:51342,43000000,0,0,0,0,0,0,1,0,1,0,[5753.]
c:20,c:3502,180000000,0,0,0,0,0,0,1,0,0,0,[5757.]
c:14904,c:12539,650000000,0,0,0,0,0,0,1,1,0,0,[5762.]
c:24869,c:56728,21500000,0,0,0,0,0,0,1,0,0,0,[5765.]
c:20,c:28712,2400000000,0,0,0,0,0,0,1,0,0,0,[5771.]
c:274044,c:274045,280000000,0,0,0,0,0,0,1,0,0,0,[5774.]
c:1611,c:7193,50000000,0,0,0,0,0,0,1,1,0,0,[5786.]
c:20,c:3949,240000000,0,0,0,0,0,0,1,1,0,0,[5788.]
c:1360,c:34951,287500000,0,0,0,0,0,0,1,1,0,0,[5792.]
c:212,c:45441,79000000,0,0,0,0,0,0,1,1,0,0,[5801.]
